Namespace(fusion_method='intermediate', hypes_yaml='/space/chuhz/workspace/v2x_object/Where2comm/opencood/hypes_yaml/dair-v2x/dair_where2comm_max_multiscale_resnet_logits_fuse3d_da_KL_0.2_add_occlusion_2.yaml', model_dir='')
Dataset Building
Creating Model
Training start
learning rate 0.002000
/space/chuhz/software/anaconda3/envs/Where2comm/lib/python3.7/site-packages/mmcv/__init__.py:21: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  'On January 1, 2023, MMCV will release v2.0.0, in which it will remove '
[epoch 0][25/801], || Loss: 14.48 ||total: 6.69 | reg: 4.93 | conf: 1.76 | total_v: 4.83 | reg_v: 3.59 | conf_v: 1.25 | total_i: 2.95 | reg_i: 2.25 | conf_i: 0.70 | 
[epoch 0][26/801], || Loss: 11.96 ||total: 5.16 | reg: 4.06 | conf: 1.10 | total_v: 4.06 | reg_v: 3.18 | conf_v: 0.89 | total_i: 2.74 | reg_i: 1.99 | conf_i: 0.76 | 
[epoch 0][27/801], || Loss: 13.46 ||total: 5.58 | reg: 4.39 | conf: 1.19 | total_v: 4.62 | reg_v: 3.37 | conf_v: 1.25 | total_i: 3.26 | reg_i: 1.69 | conf_i: 1.57 | 
[epoch 0][28/801], || Loss: 10.19 ||total: 3.35 | reg: 2.59 | conf: 0.76 | total_v: 3.47 | reg_v: 2.70 | conf_v: 0.77 | total_i: 3.38 | reg_i: 2.76 | conf_i: 0.61 | 
[epoch 0][29/801], || Loss: 12.72 ||total: 5.03 | reg: 3.95 | conf: 1.07 | total_v: 3.86 | reg_v: 3.10 | conf_v: 0.75 | total_i: 3.84 | reg_i: 3.04 | conf_i: 0.80 | 
[epoch 0][30/801], || Loss: 12.50 ||total: 6.23 | reg: 4.52 | conf: 1.71 | total_v: 4.25 | reg_v: 3.16 | conf_v: 1.09 | total_i: 2.01 | reg_i: 1.35 | conf_i: 0.66 | 
[epoch 0][31/801], || Loss: 10.20 ||total: 4.05 | reg: 2.63 | conf: 1.42 | total_v: 3.12 | reg_v: 1.94 | conf_v: 1.18 | total_i: 3.03 | reg_i: 1.32 | conf_i: 1.71 | 
[epoch 0][32/801], || Loss: 9.31 ||total: 3.83 | reg: 2.45 | conf: 1.38 | total_v: 3.49 | reg_v: 2.15 | conf_v: 1.34 | total_i: 1.98 | reg_i: 1.05 | conf_i: 0.94 | 
[epoch 0][33/801], || Loss: 9.69 ||total: 4.35 | reg: 2.96 | conf: 1.40 | total_v: 3.54 | reg_v: 2.43 | conf_v: 1.11 | total_i: 1.80 | reg_i: 1.08 | conf_i: 0.72 | 
[epoch 0][34/801], || Loss: 9.51 ||total: 3.92 | reg: 2.60 | conf: 1.31 | total_v: 3.31 | reg_v: 2.32 | conf_v: 0.99 | total_i: 2.28 | reg_i: 1.56 | conf_i: 0.72 | 
[epoch 0][35/801], || Loss: 7.47 ||total: 2.76 | reg: 1.77 | conf: 0.99 | total_v: 2.83 | reg_v: 1.96 | conf_v: 0.87 | total_i: 1.89 | reg_i: 1.35 | conf_i: 0.54 | 
[epoch 0][36/801], || Loss: 7.87 ||total: 3.07 | reg: 2.16 | conf: 0.91 | total_v: 2.64 | reg_v: 1.97 | conf_v: 0.67 | total_i: 2.16 | reg_i: 1.52 | conf_i: 0.64 | 
[epoch 0][37/801], || Loss: 6.67 ||total: 2.57 | reg: 1.91 | conf: 0.65 | total_v: 2.57 | reg_v: 1.94 | conf_v: 0.64 | total_i: 1.53 | reg_i: 1.05 | conf_i: 0.49 | 
[epoch 0][38/801], || Loss: 8.80 ||total: 4.00 | reg: 2.27 | conf: 1.73 | total_v: 2.81 | reg_v: 1.82 | conf_v: 0.99 | total_i: 1.98 | reg_i: 1.29 | conf_i: 0.69 | 
[epoch 0][39/801], || Loss: 8.27 ||total: 2.92 | reg: 2.03 | conf: 0.89 | total_v: 3.78 | reg_v: 1.95 | conf_v: 1.82 | total_i: 1.58 | reg_i: 0.90 | conf_i: 0.68 | 
[epoch 0][40/801], || Loss: 8.17 ||total: 3.72 | reg: 2.51 | conf: 1.22 | total_v: 2.65 | reg_v: 1.90 | conf_v: 0.75 | total_i: 1.80 | reg_i: 1.25 | conf_i: 0.54 | 
[epoch 0][41/801], || Loss: 7.27 ||total: 2.52 | reg: 1.83 | conf: 0.68 | total_v: 2.92 | reg_v: 2.14 | conf_v: 0.78 | total_i: 1.84 | reg_i: 1.31 | conf_i: 0.52 | 
[epoch 0][42/801], || Loss: 12.85 ||total: 4.25 | reg: 2.30 | conf: 1.95 | total_v: 2.17 | reg_v: 1.48 | conf_v: 0.69 | total_i: 6.43 | reg_i: 2.81 | conf_i: 3.62 | 
[epoch 0][43/801], || Loss: 7.08 ||total: 2.88 | reg: 2.06 | conf: 0.82 | total_v: 2.80 | reg_v: 2.04 | conf_v: 0.76 | total_i: 1.40 | reg_i: 0.94 | conf_i: 0.46 | 
[epoch 0][44/801], || Loss: 7.62 ||total: 2.99 | reg: 2.03 | conf: 0.95 | total_v: 3.13 | reg_v: 2.14 | conf_v: 0.99 | total_i: 1.50 | reg_i: 0.95 | conf_i: 0.56 | 
[epoch 0][45/801], || Loss: 6.17 ||total: 2.44 | reg: 1.71 | conf: 0.74 | total_v: 2.37 | reg_v: 1.71 | conf_v: 0.66 | total_i: 1.35 | reg_i: 0.84 | conf_i: 0.51 | 
